id,plantel
147,PRIMERA
162,INTER
177,PRE_A
195,PRE_B
213,PRE_C
212,PRE_D
148,PRIMERA
163,INTER
178,PRE_A
194,PRE_B
261,PRE_C
253,PRIMERA
164,INTER
196,PRE_A
257,PRE_B
230,PRE_D
254,PRIMERA
150,INTER
165,PRE_A
199,PRE_B
237,PRE_C
232,PRE_D
151,PRIMERA
166,INTER
215,PRE_A
198,PRE_B
233,PRE_D
152,PRIMERA
183,INTER
168,PRE_A
184,PRE_B
252,PRE_C
214,PRE_D
167,PRIMERA
201,INTER
182,PRE_A
236,PRE_B
234,PRE_C
251,PRE_D
154,PRIMERA
200,INTER
169,PRE_A
260,PRE_B
218,PRE_C
155,PRIMERA
170,INTER
185,PRE_A
202,PRE_B
238,PRE_C
219,PRE_D
171,PRIMERA
186,INTER
255,PRE_A
203,PRE_B
220,PRE_C
239,PRE_D
157,PRIMERA
172,INTER
193,PRE_A
204,PRE_B
229,PRE_C
244,PRE_D
158,PRIMERA
188,INTER
205,PRE_A
222,PRE_B
241,PRE_C
248,PRE_D
174,PRIMERA
192,INTER
189,PRE_A
223,PRE_B
247,PRE_C
249,PRE_D
160,PRIMERA
187,INTER
190,PRE_A
256,PRE_B
224,PRE_C
258,PRE_D
176,PRIMERA
161,INTER
208,PRE_A
209,PRE_B
225,PRE_C
149,PRIMERA
206,PRE_A
240,PRE_C
159,PRIMERA
262,PRE_B
250,PRE_B
211,PRE_D
246,PRE_D
228,PRE_D
235,PRE_D
263,PRE_D
264,PRE_C
265,PRE_C
266,PRE_D
267,PRE_D
268,PRE_B
269,PRE_D
270,PRE_D
271,PRE_D
272,PRE_D
273,PRE_D
